,artist_id,artist_name,artist_popularity,artist_followers,artist_genres,track_name,track_duration,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,release_date,target,position,chart_date,country,chart_type,chart_trend,song_streams,decade
1537213,4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,65427252,reggaeton,Yonaguni,3.4451666666666667,83,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,2021-06-04,1,6,2021-07-01,Argentina,top200,MOVE_DOWN,386858.0,2020s
113909,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,68914283,pop,Don’t Blame Me,3.9402166666666663,83,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,2017-11-10,1,124,2018-06-15,Ireland,top200,NEW_ENTRY,6426.0,2010s
111682,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,68914283,pop,Blank Space,3.863766666666667,74,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,2014-10-27,0,45,2017-08-12,El Salvador,viral50,NEW_ENTRY,74000.0,2010s
116665,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,68914283,pop,Style,3.85,72,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,2014-10-27,0,48,2017-08-25,Paraguay,viral50,NEW_ENTRY,72000.0,2010s
510727,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,99,59812130,canadiancontemporaryr&b,Call Out My Name,3.806216666666667,85,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,2018-03-30,1,196,2020-05-01,Romania,top200,MOVE_DOWN,1738.0,2010s
496526,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,99,59812130,canadiancontemporaryr&b,Save Your Tears,3.5937666666666668,86,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,2020-03-20,1,105,2020-05-01,Iceland,top200,MOVE_DOWN,1147.0,2020s
476980,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,99,59812130,canadiancontemporaryr&b,Blinding Lights,3.334,88,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,2020-03-20,1,25,2020-05-01,Argentina,top200,SAME_POSITION,82804.0,2020s
476066,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,99,59812130,canadiancontemporaryr&b,Die For You,4.33755,87,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,2016-11-24,1,137,2017-01-01,Canada,top200,MOVE_DOWN,20357.0,2010s
114002,06HL4z0CvFAxyc27GXpf02,Taylor Swift,99,68914283,pop,cardigan,3.9926666666666666,82,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,2020-07-24,1,138,2020-08-01,Argentina,top200,MOVE_DOWN,33620.0,2020s
462336,3TVXtAsR1Inumwj472S9r4,Drake,98,72492028,canadianhiphop,Passionfruit,4.982333333333333,80,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,2017-03-18,1,120,2018-03-01,Australia,top200,MOVE_UP,32333.0,2010s
